gene	dup_class4	provenance	arrangement	TF_subfamily	cluster_id	breadth_CD14_Mono	breadth_CD16_Mono	breadth_Mono	breadth_cDC	breadth_pDC	breadth_Granulocyte	breadth_B_cell	breadth_Naive_B_cell	breadth_Intermediate_B_cell	breadth_Plasmablast	breadth_CD4_T_cell	breadth_CD4_Naive_T_cell	breadth_CD4_Memory_T_cell	breadth_Treg	breadth_CD8_T_cell	breadth_CD8_Naive_T_cell	breadth_CD8_Memory_T_cell	breadth_MAIT	breadth_NKT	breadth_NK	breadth_NK_CD56hi	breadth_NK_CD56low	breadth_ILC	breadth_HSPC	total_events	n_response_celltypes	is_responder
ZIC5	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF217	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0021	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	True
ZNF280A	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF280B	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0022	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	True
ZNF35	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF469	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF501	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF502	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF507	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF536	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF660	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ZNF696	clustered_cis_ohnolog	ohnolog	clustered	C2H2 ZF	clust0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
EHF	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0031	3	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	True
ELF5	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ERG	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
ETS1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0032	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	True
ETS2	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0033	1	2	1	3	0	0	0	0	0	0	2	2	2	1	2	2	2	0	1	4	1	3	0	0	29	15	True
ETV3	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0030	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	9	5	True
ETV3L	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0030	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	True
FLI1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False
